avg_wheel_base,avg_length,avg_width,avg_height,avg_curb_weight,avg_engine_size,avg_bore,avg_stroke,avg_compression_ratio,avg_horsepower,avg_peak_rpm,avg_city_mpg,avg_highway_mpg,avg_price,_id.make,_id.fuel_type,_id.aspiration,_id.num_of_doors,_id.body_style,_id.drive_wheels,_id.engine_location,_id.engine_type,_id.num_of_cylinders,_id.fuel_system,target
99.1,186.6,66.5,56.1,2808.0,121.0,3.54,3.07,9.0,160.0,5500.0,19.0,26.0,18150.0,20,1,0,1,3,2,0,4,3,3,3.0
98.4,176.2,65.6,53.0,2975.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,17669.0,6,1,1,1,4,1,0,1,3,3,2.0
102.4,175.6,66.5,53.9,2436.0,122.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,10618.0,6,1,1,0,3,2,0,1,3,3,-1.0
94.5,165.3,63.79999999999999,54.5,1919.3333333333333,97.0,3.15,3.2900000000000005,9.4,69.0,5200.0,31.0,37.0,6482.333333333333,15,1,1,1,1,2,0,1,3,2,1.0
88.4,141.1,60.3,53.2,1488.0,61.0,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,5151.0,14,1,1,1,3,2,0,0,5,2,2.0
94.5,165.3,63.8,54.5,2017.0,103.0,2.99,3.47,21.9,55.0,4800.0,45.0,50.0,7099.0,15,0,1,1,1,2,0,1,3,0,1.0
95.4,168.0,64.26666666666667,54.56666666666666,2070.333333333333,104.66666666666669,3.2099999999999995,3.35,9.1,78.33333333333333,5200.0,29.666666666666668,36.0,7965.666666666667,15,1,1,0,1,2,0,1,3,2,0.6666666666666666
93.7,157.3,63.8,50.6,2191.0,98.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,8558.0,13,1,0,0,1,2,0,1,3,3,1.0
109.1,188.8,68.9,55.5,3217.0,145.0,3.01,3.4,23.0,106.0,4800.0,26.0,27.0,22470.0,0,0,0,0,1,1,0,1,2,0,-1.0
95.9,173.2,66.3,50.2,2818.0,156.0,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,12764.0,10,1,0,1,3,1,0,1,3,4,3.0
102.9,183.5,67.7,52.0,2996.0,171.0,3.27,3.35,9.3,161.0,5200.0,19.5,24.0,16278.0,6,1,1,1,3,1,0,4,2,3,3.0
94.5,171.2,65.5,52.4,2823.0,152.0,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0,19,1,1,1,3,1,0,3,2,3,1.0
97.3,171.69999999999996,65.5,55.70000000000001,2262.333333333333,109.0,3.19,3.4,9.333333333333334,90.0,5333.333333333333,26.666666666666668,33.333333333333336,8895.0,18,1,1,0,1,2,0,1,3,3,2.0
96.5,175.4,65.2,54.1,2465.0,110.0,3.15,3.58,9.0,101.0,5800.0,24.0,28.0,12945.0,5,1,1,0,1,2,0,1,3,3,0.0
95.3,169.0,65.7,49.6,2500.0,80.0,3.62,3.4,9.4,135.0,6000.0,16.0,23.0,15645.0,8,1,1,1,3,1,0,5,6,3,3.0
94.3,170.7,61.8,53.5,2337.0,111.0,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,6785.0,12,1,1,0,1,1,0,1,3,2,0.0
97.0,172.0,65.4,54.3,2385.0,108.0,3.62,2.64,9.0,82.0,4800.0,24.0,25.0,9233.0,4,1,1,0,1,0,0,2,3,2,0.0
94.5,170.2,63.8,53.5,2030.5,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7674.0,15,1,1,0,0,2,0,1,3,2,1.0
102.35,185.3,66.35,54.0,3045.0,186.5,3.465,3.29,8.5,151.5,4825.0,18.5,25.0,31142.5,7,1,1,1,1,1,0,1,2,3,0.0
108.0,186.7,68.3,56.0,3130.0,134.0,3.61,3.21,7.0,142.0,5600.0,18.0,24.0,18150.0,2,1,0,0,1,1,0,0,3,3,0.0
93.7,157.4,63.5,53.7,2085.0,102.5,3.62,2.5,8.85,71.0,4650.0,28.5,33.5,6085.5,4,1,1,1,3,2,0,2,3,2,2.0
96.6,180.3,70.5,50.8,3685.0,234.0,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,35056.0,3,1,1,1,4,1,0,3,4,3,3.0
110.0,190.9,70.3,58.7,3750.0,183.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28248.0,3,0,0,0,0,1,0,1,1,0,-1.0
97.0,173.5,65.4,53.0,2290.0,108.0,3.62,2.64,9.0,82.0,4800.0,28.0,32.0,7463.0,4,1,1,0,0,2,0,2,3,2,0.0
105.8,192.7,71.4,55.7,2844.0,136.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0,17,1,1,0,1,2,0,1,1,3,1.0
97.3,171.7,65.5,55.7,2209.0,109.0,3.19,3.4,9.0,85.0,5250.0,27.0,34.0,7975.0,18,1,1,1,1,2,0,1,3,3,2.0
92.47142857142856,153.45714285714286,64.31428571428572,52.285714285714285,1970.0,95.28571428571428,2.9785714285714286,3.41,9.328571428571427,74.0,5700.0,33.142857142857146,38.285714285714285,7054.428571428572,5,1,1,1,3,2,0,1,3,1,1.0
96.3,172.4,65.4,51.6,2403.0,110.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0,16,1,0,0,1,2,0,1,3,4,1.0
95.95,172.3,65.35,54.8,2178.75,106.5,3.2225,3.27,8.8,76.0,4900.0,28.5,35.0,8207.5,8,1,1,0,1,2,0,1,3,2,0.5
95.7,163.76666666666668,64.13333333333334,53.36666666666667,2082.0,96.0,3.143333333333333,3.03,9.0,67.33333333333333,4800.0,29.666666666666668,36.333333333333336,7348.0,6,1,1,0,3,2,0,1,3,2,0.3333333333333333
94.5,168.9,68.3,50.2,2778.0,151.0,3.94,3.11,9.5,143.0,5500.0,19.0,27.0,22018.0,21,1,1,1,3,1,0,1,3,3,3.0
97.2,173.4,65.2,54.7,2324.0,120.0,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,8949.0,15,1,1,0,3,2,0,1,3,2,0.0
99.1,186.6,66.5,56.1,2726.5,121.0,3.54,3.07,9.3,110.0,5250.0,21.0,28.0,13840.0,20,1,1,0,1,2,0,1,3,3,2.0
93.3,157.3,63.8,55.7,2240.0,108.0,3.62,2.64,8.7,73.0,4400.0,26.0,31.0,7603.0,4,1,1,1,3,0,0,2,3,2,2.0
95.3,169.0,65.7,49.6,2381.6666666666665,70.0,3.62,3.4,9.4,101.0,6000.0,17.0,23.0,12145.0,8,1,1,1,3,1,0,5,6,6,3.0
94.5,165.6,63.8,53.3,2028.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7799.0,15,1,1,1,3,2,0,1,3,2,1.0
93.7,157.3,63.8,50.6,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7150.5,13,1,1,0,1,2,0,1,3,2,1.0
97.3,171.7,65.5,55.7,2261.0,97.0,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,7775.0,18,0,1,1,1,2,0,1,3,0,2.0
93.7,157.3,63.8,50.6,1967.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0,10,1,1,0,3,2,0,1,3,2,1.0
104.3,188.8,67.2,57.5,3038.0,141.0,3.78,3.15,9.5,114.0,5400.0,23.5,28.0,14965.0,0,1,1,0,0,1,0,1,3,3,-1.0
93.7,157.3,63.8,50.8,2128.0,98.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0,13,1,0,1,3,2,0,1,3,3,1.0
88.6,168.8,64.1,48.8,2548.0,130.0,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,14997.5,19,1,1,1,4,1,0,4,3,3,3.0
94.5,168.7,64.0,52.6,2265.0,98.0,3.24,3.08,9.4,112.0,6600.0,26.0,29.0,9298.0,6,1,1,1,1,1,0,4,3,3,1.0
95.7,166.3,64.4,52.93333333333334,2105.0,98.0,3.19,3.03,9.0,70.0,4800.0,32.0,39.333333333333336,7978.0,6,1,1,0,1,2,0,1,3,2,0.0
98.8,177.8,66.5,55.5,2425.0,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,11245.0,8,1,1,0,3,2,0,1,3,2,0.0
99.1,186.6,66.5,56.1,2847.0,121.0,3.54,3.07,9.0,160.0,5500.0,19.0,26.0,18620.0,20,1,0,0,1,2,0,4,3,3,2.0
112.8,196.75,71.0,56.4,3642.5,183.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28576.0,3,0,0,0,1,1,0,1,1,0,-1.0
97.0,172.0,65.4,54.3,2510.0,108.0,3.62,2.64,7.7,111.0,4800.0,24.0,29.0,11259.0,4,1,0,0,1,0,0,2,3,3,0.0
96.3,172.4,65.4,51.6,2403.0,110.0,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0,16,1,1,0,1,2,0,1,3,4,-1.0
99.1,186.6,66.5,56.1,2682.5,121.0,3.04,2.57,9.305,110.0,5250.0,21.0,28.0,13445.0,20,1,1,1,3,2,0,1,3,3,3.0
100.4,183.1,66.9,55.1,2563.0,109.0,3.19,3.4,9.0,88.0,5500.0,25.0,31.0,12290.0,18,1,1,0,0,2,0,1,3,3,0.0
112.0,199.2,72.0,55.4,3715.0,304.0,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,45400.0,3,1,1,1,2,1,0,3,4,3,1.0
94.35,161.22500000000002,64.65,50.45,2048.5,99.5,3.0650000000000004,3.2875,9.175,73.0,5375.0,31.0,37.25,6686.5,16,1,1,1,3,2,0,1,3,2,2.25
107.90000000000002,186.7,68.4,56.70000000000001,3233.6666666666665,152.0,3.7000000000000006,3.52,21.0,95.0,4150.0,28.0,33.0,16016.666666666666,2,0,0,0,1,1,0,0,3,0,0.0
96.5,169.1,66.0,51.0,2293.0,110.0,3.15,3.58,9.1,100.0,5500.0,25.0,31.0,10345.0,5,1,1,1,1,2,0,1,3,2,1.0
101.2,176.8,64.8,54.3,2395.0,108.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0,7,1,1,0,1,1,0,1,3,3,0.0
106.7,187.5,70.3,54.9,3495.0,183.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,28176.0,3,0,0,1,2,1,0,1,1,0,0.0
95.7,158.7,63.6,54.5,2012.5,92.0,3.05,3.03,9.0,62.0,4800.0,33.0,38.5,5843.0,6,1,1,1,3,2,0,1,3,2,1.0
99.8,177.3,66.3,53.1,2507.0,136.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0,17,1,1,1,1,2,0,1,1,3,2.0
95.9,173.2,66.3,50.2,2811.0,156.0,3.6,3.9,7.0,145.0,5000.0,19.0,24.0,12964.0,13,1,0,1,3,2,0,1,3,7,3.0
96.0,172.6,65.2,51.4,2734.0,119.0,3.43,3.23,9.2,90.0,5000.0,24.0,29.0,11048.0,12,1,1,1,3,1,0,1,3,5,2.0
94.5,168.7,64.0,52.6,2169.0,98.0,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,8058.0,6,1,1,1,1,1,0,1,3,2,1.0
102.7,178.4,68.0,54.8,2910.0,140.0,3.78,3.12,8.0,175.0,5000.0,19.0,24.0,16503.0,11,1,0,1,3,1,0,1,3,3,1.0
104.3,188.8,67.2,57.5,3157.0,130.0,3.62,3.15,7.5,162.0,5100.0,17.0,22.0,18950.0,0,1,0,0,0,1,0,1,3,3,-1.0
93.7,157.3,63.8,50.8,1918.0,90.0,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,5572.0,10,1,1,1,3,2,0,1,3,2,1.0
95.7,166.3,64.4,52.8,2275.0,110.0,3.27,3.35,22.5,56.0,4500.0,38.0,47.0,7788.0,6,0,1,0,3,2,0,1,3,0,0.0
100.4,183.15,66.5,55.1,3077.5,181.0,3.43,3.27,9.0,152.0,5200.0,18.0,23.5,13499.0,15,1,1,0,1,2,0,3,2,3,0.0
104.9,175.0,66.1,54.4,2700.0,134.0,3.43,3.64,22.0,72.0,4200.0,31.0,39.0,18344.0,8,0,1,0,1,1,0,1,3,0,0.0
102.0,191.7,70.6,47.8,3950.0,326.0,3.54,2.76,11.5,262.0,5000.0,13.0,17.0,36000.0,1,1,1,1,1,1,0,3,0,3,0.0
95.7,169.7,63.6,59.1,2700.0,92.0,3.05,3.03,9.0,62.0,4800.0,27.0,32.0,8338.0,6,1,1,0,0,0,0,1,3,2,0.0
102.4,175.6,66.5,54.9,2370.0,122.0,3.31,3.54,8.7,92.0,4200.0,28.0,33.0,9923.0,6,1,1,0,1,2,0,1,3,3,-1.0
93.7,157.3,63.8,50.6,1967.0,90.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0,13,1,1,0,3,2,0,1,3,2,1.0
96.9,173.6,65.4,54.9,2650.0,108.0,3.62,2.64,7.7,111.0,4800.0,23.0,23.0,11694.0,4,1,0,0,0,0,0,2,3,3,0.0
95.7,166.3,64.4,53.0,2275.0,110.0,3.27,3.35,22.5,56.0,4500.0,34.0,36.0,7898.0,6,0,1,0,1,2,0,1,3,0,0.0
95.38,166.57999999999998,65.12,53.94,2093.0,103.4,3.174,3.246,8.84,74.4,4920.0,28.8,34.2,7505.0,8,1,1,1,3,2,0,1,3,2,1.0
97.2,172.0,65.4,52.5,2340.0,108.0,3.62,2.64,9.0,94.0,5200.0,26.0,32.0,9960.0,4,1,1,0,1,2,0,2,3,3,0.0
96.5,171.4,63.9,54.23333333333333,2228.6666666666665,104.0,3.0700000000000003,3.523333333333333,9.066666666666666,82.66666666666667,5866.666666666667,28.0,33.333333333333336,8811.666666666666,5,1,1,0,1,2,0,1,3,1,0.0
98.8,177.8,66.5,55.5,2443.0,122.0,3.39,3.39,22.7,64.0,4650.0,36.0,42.0,10795.0,8,0,1,0,1,2,0,1,3,0,0.0
118.25,205.35,71.7,56.6,3820.0,271.0,3.63,3.225,8.15,169.5,4625.0,15.0,17.0,37572.0,3,1,1,0,1,1,0,3,4,3,-0.5
96.5,157.1,63.9,58.3,2024.0,92.0,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,5,1,1,0,0,2,0,1,3,1,0.0
94.5,158.8,63.6,52.0,1909.0,90.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6575.0,14,1,1,0,1,2,0,1,3,2,0.0
104.5,187.8,66.5,54.1,3151.0,161.0,3.27,3.35,9.2,156.0,5200.0,19.0,24.0,15750.0,6,1,1,0,0,1,0,4,2,3,-1.0
113.0,199.6,69.6,52.8,4066.0,258.0,3.63,4.17,8.1,176.0,4750.0,15.0,19.0,33900.0,1,1,1,0,1,1,0,4,2,3,0.0
114.2,198.9,68.4,57.7,3257.5,120.0,3.46,2.69,8.4,96.0,5000.0,19.0,24.0,14567.5,2,1,1,0,0,1,0,0,3,3,0.0
95.7,169.7,63.6,59.1,2280.0,92.0,3.05,3.03,9.0,62.0,4800.0,31.0,37.0,6918.0,6,1,1,0,0,2,0,1,3,2,0.0
99.4,176.6,66.4,54.3,2824.0,136.0,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,17,1,1,0,1,0,0,1,1,3,2.0
95.25,174.6,67.9,49.7,3105.0,181.0,3.43,3.27,9.0,160.0,5200.0,19.0,25.0,17799.0,15,1,1,1,3,1,0,3,2,3,2.0
95.1,162.4,63.8,53.3,2008.0,97.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,8249.0,15,1,1,1,2,2,0,1,3,2,2.0
89.5,168.9,65.0,51.6,2756.0,194.0,3.74,2.9,9.5,207.0,5900.0,17.0,25.0,33278.0,21,1,1,1,2,1,1,2,2,3,3.0
105.8,192.7,71.4,55.7,2954.0,136.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0,17,1,1,0,0,2,0,1,1,3,1.0
105.9,188.80000000000004,67.76666666666667,55.96666666666667,2933.0,141.0,3.78,3.15,9.5,114.0,5400.0,23.33333333333333,28.0,15256.666666666666,0,1,1,0,1,1,0,1,3,3,-1.6666666666666667
101.2,176.8,64.8,54.3,2395.0,108.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16430.0,7,1,1,1,1,1,0,1,3,3,2.0
94.5,155.9,63.6,52.0,1874.0,90.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6295.0,14,1,1,1,3,2,0,1,3,2,1.0
109.1,188.8,68.9,55.5,3012.0,173.0,3.58,2.87,8.8,134.0,5500.0,18.0,23.0,21485.0,0,1,1,0,1,1,0,3,2,3,-1.0
96.1,176.8,66.6,50.5,2460.0,132.0,3.46,3.9,8.7,68.0,5500.0,23.0,31.0,9895.0,9,1,1,1,3,2,0,1,3,3,2.0
91.3,170.7,67.9,49.7,3139.0,181.0,3.43,3.27,7.8,200.0,5200.0,17.0,23.0,19699.0,15,1,0,1,3,1,0,3,2,3,3.0
104.55,187.95,67.375,55.5,3138.75,186.5,3.465,3.29,8.5,151.5,4825.0,18.0,23.75,28327.5,7,1,1,0,1,1,0,1,2,3,0.25
100.4,184.6,66.5,56.1,3296.0,181.0,3.43,3.27,9.0,152.0,5200.0,17.0,22.0,14399.0,15,1,1,0,0,2,0,3,2,3,0.0
103.3,174.6,64.6,59.8,2535.0,122.0,3.34,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0,13,1,1,0,0,2,0,1,3,2,-1.0
96.9,173.6,65.4,54.9,2420.0,108.0,3.62,2.64,9.0,82.0,4800.0,23.0,29.0,8013.0,4,1,1,0,0,0,0,2,3,2,0.0
94.5,168.7,64.0,52.6,2300.0,98.0,3.24,3.08,9.4,112.0,6600.0,26.0,29.0,9538.0,6,1,1,1,3,1,0,4,3,3,1.0
96.1,181.5,66.5,55.2,2579.0,132.0,3.46,3.9,8.7,68.0,5500.0,23.0,31.0,9295.0,9,1,1,0,0,2,0,1,3,3,0.0
104.5,187.8,66.5,54.1,3131.0,171.0,3.27,3.35,9.2,156.0,5200.0,20.0,24.0,15690.0,6,1,1,0,1,1,0,4,2,3,-1.0
93.7,157.3,63.8,50.8,1876.0,90.0,2.97,3.23,9.405,68.0,5500.0,34.0,39.5,5974.5,13,1,1,1,3,2,0,1,3,2,1.0
95.4,169.98,65.62,50.16,2639.0,135.2,3.3920000000000003,3.686,7.220000000000001,130.6,5200.0,20.8,26.4,11927.0,16,1,0,1,3,2,0,1,3,4,2.6
107.5,188.80000000000004,68.3,55.73333333333333,3052.0,137.33333333333334,3.7266666666666666,3.15,8.566666666666666,145.33333333333334,5266.666666666667,18.33333333333333,24.0,20030.0,0,1,0,0,1,1,0,1,3,3,-1.3333333333333333
94.5,168.7,64.0,52.6,2204.0,98.0,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,8238.0,6,1,1,1,3,1,0,1,3,2,1.0
99.8,176.6,66.2,54.3,2337.0,109.0,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0,17,1,1,0,1,2,0,1,3,3,2.0
100.4,180.2,66.9,55.1,2661.0,136.0,3.19,3.4,8.5,110.0,5500.0,19.0,24.0,13295.0,18,1,1,0,1,2,0,1,1,3,0.0
97.0,173.5,65.4,53.0,2455.0,108.0,3.62,2.64,9.0,94.0,5200.0,25.0,31.0,10198.0,4,1,1,0,0,2,0,2,3,3,0.0
93.7,157.3,63.8,50.8,2128.0,98.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0,10,1,0,1,3,2,0,1,3,4,1.0
102.4,175.6,66.5,54.9,2480.0,110.0,3.27,3.35,22.5,73.0,4500.0,30.0,33.0,10698.0,6,0,0,0,1,2,0,1,3,0,-1.0
89.5,168.9,65.0,51.6,2800.0,194.0,3.74,2.9,9.5,207.0,5900.0,17.0,25.0,37028.0,21,1,1,1,4,1,1,2,2,3,3.0
96.3,172.4,65.4,51.6,2385.0,122.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,7589.0,16,1,1,0,1,2,0,1,3,2,1.0
98.40000000000002,176.19999999999996,65.6,52.0,2585.0,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,9762.333333333334,6,1,1,1,2,1,0,1,3,3,2.0
98.4,176.2,65.6,52.0,2632.5,146.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,10769.0,6,1,1,1,3,1,0,1,3,3,2.0
114.2,198.9,68.4,58.7,3457.5,152.0,3.7,3.52,21.0,95.0,4150.0,25.0,25.0,15467.5,2,0,0,0,0,1,0,0,3,0,0.0
97.2,172.0,65.4,52.5,2167.5,108.0,3.62,2.64,9.5,82.0,4600.0,30.0,35.0,7450.5,4,1,1,0,1,2,0,2,3,2,0.0
94.5,165.7,64.0,51.4,2221.0,109.0,3.19,3.4,8.5,90.0,5500.0,24.0,29.0,9980.0,18,1,1,1,3,2,0,1,3,3,3.0
97.3,171.7,65.5,55.7,2264.0,97.0,3.01,3.4,23.0,52.0,4800.0,37.0,46.0,7995.0,18,0,1,0,1,2,0,1,3,0,2.0
98.85,175.95,66.2,55.400000000000006,2449.0,97.0,3.01,3.4,23.0,68.0,4500.0,35.0,40.0,11670.0,18,0,0,0,1,2,0,1,3,0,1.0
105.8,192.7,71.4,55.9,3086.0,131.0,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,23875.0,17,1,0,0,1,2,0,1,1,3,1.0
104.9,175.0,66.1,54.4,2670.0,140.0,3.76,3.16,8.0,120.0,5000.0,19.0,27.0,18280.0,8,1,1,0,1,1,0,1,3,3,0.0
94.5,159.3,64.2,55.6,2254.0,109.0,3.19,3.4,8.5,90.0,5500.0,24.0,29.0,11595.0,18,1,1,1,4,2,0,1,3,3,3.0
103.3,174.6,64.6,59.8,2535.0,122.0,3.35,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0,10,1,1,0,0,2,0,1,3,2,-1.0
107.90000000000002,186.7,68.4,56.70000000000001,3056.6666666666665,120.0,3.4599999999999995,2.856666666666667,8.4,96.33333333333331,5000.0,19.0,24.0,14703.333333333334,2,1,1,0,1,1,0,0,3,3,0.0
93.7,167.3,63.8,50.8,2090.0,94.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7150.5,10,1,1,0,1,2,0,1,3,2,1.0
